MUNICIPIO,LOCALIDAD, HABITANTES ,LATITUD,LONGITUD,
Aguascalientes,General JosÈ MarÌa Morelos y PavÛn (CaÒada Honda),2500,21.99905,-102.20278,
Celaya,San JosÈ de Guanajuato,2500,20.557396,-100.891938,
San JosÈ del RincÛn,San Miguel Agua Bendita,2500,19.62903,-100.08416,
Acajete,Apango de Zaragoza,2500,19.07034,-97.93531,
Tres Valles,Novara,2501,18.20129,-96.11086,
ParaÌso,Libertad 1ra. SecciÛn (El Chivero),2502,18.328889,-93.169444,
Acapetahua,Soconusco,2502,15.31589,-92.72652,
Villaflores,Villa Hidalgo,2502,16.30431,-93.15221,
Ixcateopan de CuauhtÈmoc,Ixcateopan de CuauhtÈmoc,2502,18.50137,-99.79126,
Tizayuca,El Carmen,2502,19.88665,-98.95447,
Tequila,El Salvador,2502,21.01518,-103.71745,
Tenejapa,Kotolte,2503,16.864444,-92.461111,
Jilotepec,XhimÛjay,2503,19.923333,-99.631944,
Tenancingo,Tepetzingo,2503,18.938056,-99.6125,
Minatitl·n,Capoacan,2504,17.966389,-94.549445,
Mexicali,Ejido Sinaloa (EstaciÛn Kasey),2505,32.54766,-115.26998,
Tlajomulco de Z˙Òiga,San Lucas Evangelista,2505,20.408008,-103.360496,
C·rdenas,Poblado C-27 Ingeniero Eduardo Ch·vez RamÌrez,2507,18.021626,-93.565428,
Mexicali,ViÒas del Sol,2509,32.62641,-115.54657,
Perote,La Gloria,2510,19.396111,-97.281389,
Buenaventura,Flores MagÛn,2510,29.94554,-106.95598,
Pedro Escobedo,Escol·sticas,2510,20.428611,-100.208333,
Atempan,Cala Sur,2511,19.832778,-97.421111,
Chignautla,San Isidro,2512,19.796389,-97.383611,
Huimilpan,Lagunillas,2513,20.458056,-100.293611,
Amozoc,ConcepciÛn Capulac (La Ex-Hacienda),2514,19.094578,-98.061353,
Mexicali,Ejido Hechicera,2517,32.551425,-115.137114,
Silao,Chichimequillas,2518,21.038611,-101.4425,
Amixtl·n,Amixtl·n,2518,20.04722,-97.79949,
Veracruz,Vargas,2519,19.228056,-96.319722,
Tlahuelilpan,Munitepec de Madero,2520,20.12886,-99.20116,
San Salvador El Verde,Analco de Ponciano Arriaga (Santa Cruz Analco),2521,19.26336,-98.50488,
Huimilpan,El Vegil,2521,20.43045,-100.35003,
Jalpa de MÈndez,Vicente Guerrero 1ra. SecciÛn,2523,18.120278,-93.0925,
Huixquilucan,Ignacio Allende,2525,19.342778,-99.361667,
Quecholac,La CompaÒÌa,2526,18.969314,-97.723281,
CalkinÌ,BacabchÈn,2527,20.28881,-90.05889,
San Pedro Atoyac,San Pedro Atoyac,2527,16.48924,-97.98659,
Tepeyahualco,San JosÈ Alchichica,2527,19.43747,-97.39081,
Tejupilco,Bejucos,2528,18.77985,-100.42894,
ChilÛn,Tzajal·,2529,17.134722,-92.393056,
Sinaloa,Gabriel Leyva Vel·zquez,2529,25.79206,-108.56345,
San Juan del Estado,San Juan del Estado,2531,17.27763,-96.79982,
Acapulco de Ju·rez,Los ”rganos de Juan R. Escudero,2532,16.944167,-99.811111,
Vicente Guerrero,Telpatl·n,2532,18.484167,-97.152222,
Temascaltepec,Temascaltepec de Gonz·lez,2533,19.04583,-100.04379,
Turicato,La Ermita (Nueva JerusalÈn),2533,19.07456,-101.50811,
Ayala,Huitzililla,2535,18.695278,-98.896389,
Carmen,Atasta,2535,18.6193,-92.10514,
OthÛn P. Blanco,Limones,2535,19.024167,-88.108333,
Contepec,Buenavista,2536,19.913056,-100.231667,
Irimbo,San Lorenzo QuerÈndaro,2537,19.6675,-100.488611,
ColÛn,Esperanza,2537,20.645556,-100.112222,
Aramberri,Aramberri,2538,24.10252,-99.81912,
Tlaxcala,San HipÛlito Chimalpa,2538,19.31947,-98.25008,
Cosamaloapan de Carpio,ParaÌso Novillero,2538,18.25339,-95.93541,
Aguascalientes,Norias del Paso Hondo,2539,21.85914,-102.20656,
Hueypoxtla,Nopala (Guadalupe Nopala),2539,19.93597,-99.01396,
San Juan Evangelista,La Cerquilla,2539,17.906667,-95.054722,
Calimaya,San Diego la Huerta,2540,19.144722,-99.633333,
Santa MarÌa Chimalapa,Santa MarÌa Chimalapa,2540,16.90433,-94.68374,
Tekom,Tekom,2540,20.60113,-88.2631,
Nicol·s Romero,Loma de San JosÈ,2541,19.642222,-99.327778,
El Arenal,Santa Cruz del Astillero,2541,20.745465,-103.643837,
San JosÈ del RincÛn,Guarda la Lagunita (Las Canoas),2543,19.7144,-100.13062,
Atzitzihuac·n,San Juan Tejupa,2543,18.85561,-98.54064,
Atenco,Ejido la Magdalena Panoaya,2544,19.526944,-98.921667,
Nacajuca,Guaytalpa,2544,18.215278,-93.031667,
Alcozauca de Guerrero,Alcozauca de Guerrero,2545,17.46105,-98.38417,
San Juan Teitipac,San Juan Teitipac,2545,16.9288,-96.60478,
Teotihuac·n,Santiago Zacualuca,2546,19.698889,-98.928611,
Montecristo de Guerrero,Montecristo de Guerrero,2546,15.6928,-92.62046,
San Salvador El Verde,San Gregorio Aztotoacan,2547,19.264569,-98.491918,
C·rdenas,Poblado C-11 JosÈ MarÌa Morelos y PavÛn,2547,18.17243,-93.62515,
Ayala,Tlayecac,2548,18.756111,-98.881111,
Tac·mbaro,Tecario,2549,19.231944,-101.545,
La Trinitaria,La Esperanza,2549,16.15194,-91.86833,
La Manzanilla de la Paz,La Manzanilla de la Paz,2549,20.00455,-103.15472,
Santiago Laollaga,Santiago Laollaga,2550,16.5825,-95.20689,
Tataltepec de ValdÈs,Santa Cruz Tepenixtlahuaca,2551,16.293125,-97.493273,
Valle de Santiago,RincÛn de Parangueo,2553,20.42071,-101.25066,
Cuautepec de Hinojosa,Santa Elena Paliseca,2553,19.99407,-98.2465,
Coyotepec,La Planada,2554,19.779722,-99.188611,
Temoaya,Llano de la Y,2554,19.402778,-99.616389,
Tomatl·n,JosÈ MarÌa Pino Su·rez (Nuevo Nahuapa),2554,19.94938,-105.32922,
Ahuacatl·n,Tlacotepec (San Mateo),2554,20.060257,-97.849105,
Atlacomulco,San JerÛnimo de los Jarros,2555,19.878611,-99.923333,
Cacahoat·n,Salvador Urbina,2555,15.03777,-92.20937,
ChacsinkÌn,ChacsinkÌn,2555,20.17264,-89.01663,
Xochitl·n de Vicente Su·rez,Zoatecpan,2556,19.93092,-97.61461,
Nicol·s Romero,Colonia Morelos,2557,19.637778,-99.339167,
Tezontepec de Aldama,San Gabriel,2557,20.168889,-99.332778,
Cocula,La CofradÌa de la Luz,2557,20.40945,-103.76831,
Zapotl·n del Rey,Santiago Totolimixpan (Colonia la Guadalupana),2559,20.39201,-102.92551,
Santa Cruz de Juventino Rosas,RincÛn de Centeno,2560,20.661111,-100.884444,
Coeneo,Zipiajo,2562,19.793611,-101.553333,
Tekal de Venegas,Tekal de Venegas,2562,21.01542,-88.94473,
Ixtlahuaca,San Isidro Boxipe,2563,19.601111,-99.890833,
Tuzant·n,Xochiltepec,2563,15.12799,-92.43311,
SinanchÈ,SinanchÈ,2563,21.22701,-89.18436,
San Felipe del Progreso,San JerÛnimo Bonchete,2564,19.6325,-99.955278,
Victoria,Victoria,2564,21.21089,-100.21811,
Tampico Alto,Tampico Alto,2564,22.11174,-97.80189,
Jalpa de MÈndez,El RÌo,2566,18.148889,-93.059722,
Huaniqueo,Huaniqueo de Morales,2566,19.89914,-101.50682,
Chignautla,Coahuixco,2566,19.805644,-97.41022,
Ometepec,Huajintepec,2567,16.609444,-98.23,
Pachuca de Soto,El HuixmÌ,2567,20.07371,-98.81938,
San Bartolo Tutotepec,San Bartolo Tutotepec,2568,20.39741,-98.2014,
Navojoa,Pueblo Mayo,2568,27.20399,-109.5565,
Acapulco de Ju·rez,Tuncingo,2570,16.850833,-99.789167,
Jes˙s MarÌa,El Llano,2571,21.94252,-102.31674,
Tecamachalco,Xochimilco,2572,18.83904,-97.72278,
ErongarÌcuaro,ErongarÌcuaro,2573,19.58795,-101.72099,
Chiautzingo,San Nicol·s Zecalacoayan,2575,19.20312,-98.49317,
Iz˙car de Matamoros,San Lucas Colucan,2577,18.509167,-98.479722,
ParaÌso,Moctezuma 2da. SecciÛn,2577,18.368333,-93.220833,
Santo Domingo Armenta,Santo Domingo Armenta,2577,16.33377,-98.37982,
